[2026-01-06 17:12:41.952668] Train 'train-jump' passed Balise 'Line0' (Region:0-0, GroupPos:0). Packets: [CTCS-2]
[2026-01-06 17:12:45.440199] Train 'train-jump' passed Balise 'JZ2' (Region:0-0, GroupPos:1). Packets: [ETCS-27]
[2026-01-06 17:12:45.840151] Train 'train-jump' passed Balise 'Line0' (Region:0-0, GroupPos:0). Packets: [CTCS-2]
[2026-01-06 17:12:49.328158] Train 'train-jump' passed Balise 'JZ2' (Region:0-0, GroupPos:1). Packets: [ETCS-27]
[2026-01-06 17:12:49.728217] Train 'train-jump' passed Balise 'Line0' (Region:0-0, GroupPos:0). Packets: [CTCS-2]
[2026-01-06 17:12:53.216195] Train 'train-jump' passed Balise 'JZ2' (Region:0-0, GroupPos:1). Packets: [ETCS-27]
[2026-01-06 17:12:53.616144] Train 'train-jump' passed Balise 'Line0' (Region:0-0, GroupPos:0). Packets: [CTCS-2]
[2026-01-06 17:12:57.104664] Train 'train-jump' passed Balise 'JZ2' (Region:0-0, GroupPos:1). Packets: [ETCS-27]
[2026-01-06 17:12:57.504387] Train 'train-jump' passed Balise 'Line0' (Region:0-0, GroupPos:0). Packets: [CTCS-2]
[2026-01-06 17:13:00.992825] Train 'train-jump' passed Balise 'JZ2' (Region:0-0, GroupPos:1). Packets: [ETCS-27]
[2026-01-06 17:13:01.392939] Train 'train-jump' passed Balise 'Line0' (Region:0-0, GroupPos:0). Packets: [CTCS-2]
[2026-01-06 17:13:04.880614] Train 'train-jump' passed Balise 'JZ2' (Region:0-0, GroupPos:1). Packets: [ETCS-27]
[2026-01-06 17:13:05.280717] Train 'train-jump' passed Balise 'Line0' (Region:0-0, GroupPos:0). Packets: [CTCS-2]
[2026-01-06 17:13:08.768138] Train 'train-jump' passed Balise 'JZ2' (Region:0-0, GroupPos:1). Packets: [ETCS-27]
[2026-01-06 17:13:09.168403] Train 'train-jump' passed Balise 'Line0' (Region:0-0, GroupPos:0). Packets: [CTCS-2]
[2026-01-06 17:13:12.656327] Train 'train-jump' passed Balise 'JZ2' (Region:0-0, GroupPos:1). Packets: [ETCS-27]
[2026-01-06 17:13:13.056406] Train 'train-jump' passed Balise 'Line0' (Region:0-0, GroupPos:0). Packets: [CTCS-2]
[2026-01-06 17:13:16.544371] Train 'train-jump' passed Balise 'JZ2' (Region:0-0, GroupPos:1). Packets: [ETCS-27]
[2026-01-06 17:13:16.944853] Train 'train-jump' passed Balise 'Line0' (Region:0-0, GroupPos:0). Packets: [CTCS-2]
[2026-01-06 17:13:20.433038] Train 'train-jump' passed Balise 'JZ2' (Region:0-0, GroupPos:1). Packets: [ETCS-27]
[2026-01-06 17:13:20.832794] Train 'train-jump' passed Balise 'Line0' (Region:0-0, GroupPos:0). Packets: [CTCS-2]
[2026-01-06 17:13:24.320738] Train 'train-jump' passed Balise 'JZ2' (Region:0-0, GroupPos:1). Packets: [ETCS-27]
[2026-01-06 17:13:24.720431] Train 'train-jump' passed Balise 'Line0' (Region:0-0, GroupPos:0). Packets: [CTCS-2]
[2026-01-06 17:13:28.209118] Train 'train-jump' passed Balise 'JZ2' (Region:0-0, GroupPos:1). Packets: [ETCS-27]
[2026-01-06 17:13:28.609218] Train 'train-jump' passed Balise 'Line0' (Region:0-0, GroupPos:0). Packets: [CTCS-2]
[2026-01-06 17:13:32.096410] Train 'train-jump' passed Balise 'JZ2' (Region:0-0, GroupPos:1). Packets: [ETCS-27]
[2026-01-06 17:13:32.496142] Train 'train-jump' passed Balise 'Line0' (Region:0-0, GroupPos:0). Packets: [CTCS-2]
[2026-01-06 17:15:53.737011] Train 'train-jump' passed Balise 'JZ2' (Region:0-0, GroupPos:1). Packets: [ETCS-27]
[2026-01-06 17:15:54.153077] Train 'train-jump' passed Balise 'Line0' (Region:0-0, GroupPos:0). Packets: [CTCS-2]
[2026-01-06 17:15:57.641437] Train 'train-jump' passed Balise 'JZ2' (Region:0-0, GroupPos:1). Packets: [ETCS-27]
